Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
smok novo kit,162,203,1252,1222,12.94%,16.61%,5.97,5.16
uwell caliburn,160,190,13149,23251,1.22%,0.82%,10.64,9.05
smok nord vs nord 2,159,0,386,0,41.19%,0%,3.87,0
best mod 2020,156,34,752,239,20.74%,14.23%,4.78,5.73
best salt nic devices,156,123,520,486,30%,25.31%,2.01,2.17
vape tastes burnt,153,163,1059,981,14.45%,16.62%,1.05,1.14
smok v8,152,111,3813,4045,3.99%,2.74%,5.56,5.73
smok morph 219 kit,152,168,2743,2784,5.54%,6.03%,5.21,5.27
vape prices,152,121,1276,1126,11.91%,10.75%,3.43,3.53
best pod system for flavor,152,158,706,612,21.53%,25.82%,1.9,1.62
rda vs rta,150,192,1017,1055,14.75%,18.2%,1.7,2.3
smok nord not hitting,146,75,596,424,24.5%,17.69%,1.08,2
buy vape,145,132,2934,3265,4.94%,4.04%,9.52,9.66
novo kit,144,160,829,821,17.37%,19.49%,3.07,3.46
vape sticks,143,120,1997,1782,7.16%,6.73%,1.66,2.1
smok fit kit,143,131,986,1454,14.5%,9.01%,3.46,2.79
best vape mods 2019,140,270,2071,3743,6.76%,7.21%,6.4,6.38
best refillable vape,139,152,358,326,38.83%,46.63%,1.02,1
twister vape,138,124,3038,2697,4.54%,4.6%,4.92,4.93
best pods,138,139,1030,1169,13.4%,11.89%,3.07,3.25
smok alien,136,125,7657,11159,1.78%,1.12%,7.88,9.61
vape mod kits,136,136,3823,3633,3.56%,3.74%,8.88,9.03
best nic salt vape,136,88,666,473,20.42%,18.6%,3.13,3.39
pod system vapes,133,112,877,717,15.17%,15.62%,2.24,2.88
nicotine salt vape device,133,128,857,818,15.52%,15.65%,2.55,3.14
pod system,131,166,5703,5532,2.3%,3%,6.32,5.42
best vape tanks,131,100,1841,1772,7.12%,5.64%,4.24,6.65
juul like vapes,129,164,510,599,25.29%,27.38%,2.15,2.58
vaping .com,129,115,154,142,83.77%,80.99%,1,1
smok resa stick,128,119,3285,3247,3.9%,3.66%,6.49,6.44
juul competitors,128,103,622,606,20.58%,17%,3.35,3.65
smok novo vs novo 2,128,181,342,401,37.43%,45.14%,1.25,1.24
mtl vape,127,142,2153,2399,5.9%,5.92%,5.16,4.57
caliburn koko,126,220,14337,20963,0.88%,1.05%,7.75,6.72
small vape,126,147,3788,3707,3.33%,3.97%,1.52,2.27
best alternative to juul,124,148,214,248,57.94%,59.68%,1.25,1.37
v8 stick,123,132,1573,1398,7.82%,9.44%,2.41,2.54
smok novo vape,120,133,1380,1306,8.7%,10.18%,4.24,3.86
teardrop vape,120,103,565,568,21.24%,18.13%,1.01,1
vaper,115,81,6237,5032,1.84%,1.61%,10.1,13.05
novo 2 pod,115,77,1208,1086,9.52%,7.09%,3.84,4.69
best box mod 2020,115,40,758,220,15.17%,18.18%,5.63,5.72
best pod systems 2020,115,47,352,125,32.67%,37.6%,2,3.28
best pod system vape 2020,113,68,328,235,34.45%,28.94%,1.44,4.1
best vape pod system 2020,111,35,257,88,43.19%,39.77%,1.58,3.01
best vape for nic salts,110,65,417,373,26.38%,17.43%,2.92,4.09
small refillable vapes,110,47,298,155,36.91%,30.32%,1.46,2.85
smallest vape,109,124,763,713,14.29%,17.39%,3.54,3.41
